,missing_pct,missing_count,dtype
"phencyclidine(pcp)screen,urine,noconf._median",100.0,560486,float64
"phencyclidine(pcp)screen,urine,noconf._last",100.0,560486,float64
"phencyclidine(pcp)screen,urine,noconf._max",100.0,560486,float64
"phencyclidine(pcp)screen,urine,noconf._min",100.0,560486,float64
"benzodiazepinesscreen,urine,noconf._last",99.99982158341155,560485,float64
epithelialcells_last,99.99857266729232,560478,float64
"benzodiazepinesscreen,urine,noconf._median",99.99750216776155,560472,float64
"benzodiazepinesscreen,urine,noconf._min",99.99750216776155,560472,float64
"benzodiazepinesscreen,urine,noconf._max",99.99750216776155,560472,float64
epithelialcells_min,99.99446908575771,560455,float64
epithelialcells_median,99.99446908575771,560455,float64
epithelialcells_max,99.99446908575771,560455,float64
acetonebld_last,99.92934703096955,560090,float64
poctroponini._last,99.83496465567383,559561,float64
acetonebld_min,99.59285334513261,558204,float64
acetonebld_max,99.59285334513261,558204,float64
acetonebld_median,99.59285334513261,558204,float64
poctroponini._min,99.21050659606128,556061,float64
poctroponini._max,99.21050659606128,556061,float64
poctroponini._median,99.21050659606128,556061,float64
egfr_last,98.48096116584536,551972,float64
d-dimer_last,98.28934174983853,550898,float64
"b-typenatriureticpeptide,pro(probnp)_last",98.05365343648191,549577,float64
cktotal_last,97.80690329464072,548194,float64
troponint_last,97.58334730929943,546941,float64
"co2calculated,venous(poc)_last",97.19850272798963,544784,float64
"o2satcalculated,venous(poc)_last",97.19725381187041,544777,float64
"po2,venous(poc)_last",97.19386389668966,544758,float64
"baseexcess,venous(poc)_last",97.1927933971589,544752,float64
"pco2,venous(poc)_last",97.19118764786275,544743,float64
"hco3calculated,venous(poc)_last",97.19118764786275,544743,float64
"ph,venous(poc)_last",97.19083081468582,544741,float64
tsh_last,96.85148246343353,542839,float64
egfr_max,96.83435447094129,542743,float64
egfr_min,96.83435447094129,542743,float64
egfr_median,96.83435447094129,542743,float64
"co2calculated,venous(poc)_min",95.53744428942025,535474,float64
"co2calculated,venous(poc)_median",95.53744428942025,535474,float64
"co2calculated,venous(poc)_max",95.53744428942025,535474,float64
"o2satcalculated,venous(poc)_min",95.53655220647795,535469,float64
"o2satcalculated,venous(poc)_median",95.53655220647795,535469,float64
"o2satcalculated,venous(poc)_max",95.53655220647795,535469,float64
"baseexcess,venous(poc)_max",95.53369754106258,535453,float64
"baseexcess,venous(poc)_min",95.53369754106258,535453,float64
"baseexcess,venous(poc)_median",95.53369754106258,535453,float64
"po2,venous(poc)_median",95.53334070788566,535451,float64
"po2,venous(poc)_max",95.53334070788566,535451,float64
"po2,venous(poc)_min",95.53334070788566,535451,float64
"hco3calculated,venous(poc)_max",95.53280545812028,535448,float64
"hco3calculated,venous(poc)_median",95.53280545812028,535448,float64
"pco2,venous(poc)_min",95.53280545812028,535448,float64
"pco2,venous(poc)_max",95.53280545812028,535448,float64
"hco3calculated,venous(poc)_min",95.53280545812028,535448,float64
"pco2,venous(poc)_median",95.53280545812028,535448,float64
"ph,venous(poc)_min",95.53262704153181,535447,float64
"ph,venous(poc)_median",95.53262704153181,535447,float64
"ph,venous(poc)_max",95.53262704153181,535447,float64
d-dimer_min,95.26535899201764,533949,float64
d-dimer_max,95.26535899201764,533949,float64
d-dimer_median,95.26535899201764,533949,float64
"b-typenatriureticpeptide,pro(probnp)_max",95.14974504269509,533301,float64
"b-typenatriureticpeptide,pro(probnp)_min",95.14974504269509,533301,float64
"b-typenatriureticpeptide,pro(probnp)_median",95.14974504269509,533301,float64
egfr(aframer)_last,95.04626342138786,532721,float64
calculatedhco3(poc)i_last,93.04282354956234,521492,float64
egfr(nonafricanamerican)_last,92.91240102339755,520761,float64
phosphorus_last,92.89241836548995,520649,float64
cktotal_max,92.80231798831728,520144,float64
cktotal_median,92.80231798831728,520144,float64
cktotal_min,92.80231798831728,520144,float64
calculatedo2saturation(poc)_last,92.66743504744097,519388,float64
po2(poc)_last,92.66350988249484,519366,float64
baseexcess(poc)_last,92.65833580142947,519337,float64
pco2(poc)_last,92.65690846872178,519329,float64
egfr(aframer)_max,92.61266115478352,519081,float64
egfr(aframer)_min,92.61266115478352,519081,float64
egfr(aframer)_median,92.61266115478352,519081,float64
"glucose,meter_last",92.57198217261448,518853,float64
troponint_median,92.45993655506113,518225,float64
troponint_min,92.45993655506113,518225,float64
troponint_max,92.45993655506113,518225,float64
immaturegrans(abs)_last,92.2861587979004,517251,float64
immaturegranulocytes_last,92.28383938225039,517238,float64
monosabs_last,92.06313806232448,516001,float64
