model,class,precision,recall,f1_score,support
dummy_stratified,1,0.011707317073170732,0.011385199240986717,0.011544011544011544,1054.0
dummy_stratified,2,0.2895073381645454,0.2907022961445562,0.2901035866298494,32707.0
dummy_stratified,3,0.41959836291536784,0.4188079414130297,0.4192027795726831,47246.0
dummy_stratified,4,0.22257691233390528,0.22311107555697773,0.2228436738444329,25001.0
dummy_stratified,5,0.05017207027712371,0.049481957842086456,0.04982462451659322,5598.0
dummy_stratified,overall_accuracy,,,0.3150547461606007,111606.0
dummy_stratified,macro_avg,0.1987124001528226,0.19869769403952736,0.19870373522151402,111606.0
dummy_stratified,weighted_avg,0.3149571609995312,0.3150547461606007,0.3150052224574791,111606.0
logistic_regression,1,0.05884566182557002,0.7419354838709677,0.10904273861814125,1054.0
logistic_regression,2,0.6291414606786587,0.48014186565567,0.5446348061316502,32707.0
logistic_regression,3,0.7166929191545478,0.4141091309317191,0.5249178348648468,47246.0
logistic_regression,4,0.5102392171076477,0.4504619815207392,0.4784908546300427,25001.0
logistic_regression,5,0.15576401917865332,0.6673812075741337,0.2525774938309164,5598.0
logistic_regression,overall_accuracy,,,0.45740372381413186,111606.0
logistic_regression,macro_avg,0.41413665558901547,0.5508059339106459,0.3819327456151195,111606.0
logistic_regression,weighted_avg,0.610439263002233,0.45740372381413186,0.5027081728916646,111606.0
decision_tree,1,0.03957822461991172,0.7656546489563567,0.0752658086177952,1054.0
decision_tree,2,0.47414859129039805,0.43376035711009875,0.45305614102318453,32707.0
decision_tree,3,0.8273419327553394,0.16562248655970876,0.2759946388261851,47246.0
decision_tree,4,0.41714285714285715,0.008759649614015439,0.017158975162579332,25001.0
decision_tree,5,0.09906064858122857,0.9080028581636299,0.17863292918643472,5598.0
decision_tree,overall_accuracy,,,0.25196674013941905,111606.0
decision_tree,macro_avg,0.371454450877947,0.4563600000807619,0.2000216985632358,111606.0
decision_tree,weighted_avg,0.5879775322225462,0.25196674013941905,0.26312258076031486,111606.0
